Transaction ID,Customer ID,Customer Name,Age,Gender,Location,Product ID,Product Name,Category,Quantity Purchased,Price per Unit ($),Total Purchase Amount ($),Purchase Date,Payment Method,Customer Feedback Score
30,CUST1915,Mary Clark,25,Non-binary,Dennisberg,PROD714,Sneakers,Fashion,2,8.19,16.38,2023-05-18,PayPal,5
31,CUST8140,Michelle Schneider,39,Male,Tylerstad,PROD435,Jacket,Fashion,4,84.05,336.2,2024-12-23,Debit Card,4
32,CUST1093,Donald Collins,18,Female,Port Melissamouth,PROD827,Sneakers,Fashion,3,476.25,1428.75,2023-08-18,PayPal,3
33,CUST8242,Yolanda Miller,41,Male,West Michellechester,PROD514,Football,Sports,1,122.24,122.24,2025-02-04,Credit Card,1
34,CUST5465,Michelle Schroeder,27,Non-binary,North Matthew,PROD966,Yoga Mat,Sports,2,297.03,594.06,2023-11-14,PayPal,2
35,CUST8346,Mrs. Jacqueline Wright DVM,23,Female,Susanville,PROD382,T-shirt,Fashion,4,445.34,1781.36,2024-10-11,Debit Card,3
36,CUST4232,Jasmine Bradley,53,Non-binary,Amyfurt,PROD414,T-shirt,Fashion,4,114.02,456.08,2023-09-12,Cash,4
37,CUST9222,Tanya Dorsey,28,Non-binary,Gonzalezfurt,PROD155,T-shirt,Fashion,1,254.08,254.08,2023-09-16,Cash,5
38,CUST3123,Keith King,28,Female,North Briannaport,PROD397,Vacuum Cleaner,Home & Kitchen,4,81.92,327.68,2023-07-12,Cryptocurrency,3
39,CUST9078,Wesley Edwards,29,Female,Port Tammyhaven,PROD319,Vacuum Cleaner,Home & Kitchen,2,486.74,973.48,2023-10-08,Debit Card,3
40,CUST5664,John Taylor,48,Non-binary,West Alan,PROD921,Fruits,Grocery,3,231.68,695.04,2024-07-31,Debit Card,2
41,CUST6756,Nichole Goodman,51,Non-binary,Evanston,PROD887,Jeans,Fashion,3,197.26,591.78,2024-12-05,Credit Card,4
42,CUST9235,Melvin Jensen,34,Non-binary,Valdezview,PROD928,Non-fiction,Books,3,62.86,188.58,2024-08-24,Debit Card,3
43,CUST1565,Jennifer Brooks,58,Male,South Olivia,PROD557,Jacket,Fashion,3,473.54,1420.62,2023-12-14,Cash,5
44,CUST5468,Matthew Peters,52,Non-binary,Kylemouth,PROD202,Jeans,Fashion,4,340.38,1361.52,2023-10-31,Credit Card,4
45,CUST3238,Nicolas Carter,46,Non-binary,East Juliaburgh,PROD243,Comics,Books,5,247.21,1236.05,2024-01-21,PayPal,2
46,CUST5292,Lori Juarez,26,Male,South Luisport,PROD207,Tablet,Electronics,1,294.28,294.28,2024-08-23,Credit Card,3
47,CUST4308,Christopher Key,48,Male,Mariaview,PROD444,Headphones,Electronics,4,419.12,1676.48,2023-05-11,Credit Card,3
48,CUST3170,Lisa Scott,56,Male,Stevenburgh,PROD215,Eggs,Grocery,5,128.89,644.45,2024-07-12,Debit Card,3
49,CUST1885,Sharon Jones,32,Male,West Charles,PROD995,Jeans,Fashion,4,438.67,1754.68,2024-03-06,PayPal,3
50,CUST5713,Anna Clayton,50,Female,Port Carolyn,PROD582,Tennis Racket,Sports,4,75.07,300.28,2023-08-15,PayPal,4
51,CUST6800,Robert Mcneil,25,Female,North Jill,PROD273,Microwave,Home & Kitchen,1,410.23,410.23,2024-07-31,Cash,3
52,CUST9384,Crystal Flores,18,Male,Port Kathryn,PROD590,Tennis Racket,Sports,4,479.11,1916.44,2023-09-18,PayPal,3
53,CUST9488,Andrew Robinson,20,Male,Harrellshire,PROD623,Couch,Home & Kitchen,1,88.06,88.06,2024-08-14,PayPal,5
54,CUST2131,Jesse Houston,64,Non-binary,Port Jonathanborough,PROD609,Eggs,Grocery,1,53.39,53.39,2023-07-27,Cash,2
55,CUST5456,Mary Harper,52,Male,Jimmyfurt,PROD394,Watch,Fashion,1,229.72,229.72,2024-11-08,Credit Card,2
56,CUST2336,Rhonda Freeman,38,Non-binary,North Timothy,PROD700,Sneakers,Fashion,3,65.79,197.37,2025-03-07,Credit Card,4
57,CUST4214,Roy Kaiser,23,Male,West John,PROD131,Watch,Fashion,4,419.87,1679.48,2024-05-18,Cryptocurrency,1
58,CUST5288,Jessica Bell,38,Male,Deannashire,PROD505,Vacuum Cleaner,Home & Kitchen,4,185.83,743.32,2024-05-16,Cash,5
59,CUST6011,Christina Hall,22,Non-binary,East Cynthia,PROD499,Blender,Home & Kitchen,5,340.96,1704.8,2024-07-16,PayPal,5
60,CUST5785,Karen Blake,45,Non-binary,Stevenborough,PROD112,Smartphone,Electronics,1,89.86,89.86,2024-06-13,Cash,4
61,CUST3048,Robert Russell,51,Non-binary,Lake Danielleside,PROD482,Blender,Home & Kitchen,4,341.89,1367.56,2025-01-27,Cryptocurrency,5
62,CUST7140,Kevin Brooks,43,Female,Randallland,PROD871,Bread,Grocery,2,125.58,251.16,2024-02-22,Cash,5
63,CUST9608,Matthew Oconnell,34,Female,Michaelview,PROD164,Blender,Home & Kitchen,3,435.0,1305.0,2024-08-17,Cryptocurrency,3
64,CUST2589,Peggy Morgan,35,Female,East Tyler,PROD684,Fruits,Grocery,2,171.55,343.1,2024-07-19,Cryptocurrency,2
65,CUST8056,Tara Salinas,25,Non-binary,East Melissa,PROD785,Couch,Home & Kitchen,1,480.72,480.72,2023-10-24,Debit Card,2
66,CUST5073,Robert Bennett,37,Male,South Raymondburgh,PROD537,Smartwatch,Electronics,4,284.95,1139.8,2024-09-16,Cryptocurrency,4
67,CUST9231,Jessica Arroyo,28,Male,Michellemouth,PROD465,Running Shoes,Sports,4,118.93,475.72,2023-05-21,PayPal,4
68,CUST4611,Daniel Herrera,43,Male,East Linda,PROD282,Yoga Mat,Sports,5,325.32,1626.6,2023-03-26,Credit Card,1
69,CUST9160,Charles Bass,55,Non-binary,Port Amyhaven,PROD990,Bread,Grocery,3,23.64,70.92,2023-12-12,PayPal,4
70,CUST6383,Madison Smith,40,Male,Smithshire,PROD926,Watch,Fashion,5,456.87,2284.35,2023-08-03,PayPal,4
71,CUST1761,Jacob Carter,63,Female,South Brooke,PROD700,Dumbbells,Sports,3,485.55,1456.65,2024-07-04,Cryptocurrency,2
72,CUST6792,Samantha Taylor,21,Non-binary,Johnsonland,PROD416,Non-fiction,Books,5,484.53,2422.65,2024-01-01,Cryptocurrency,1
73,CUST7861,Felicia Meyer,24,Male,South Kristyville,PROD924,Blender,Home & Kitchen,5,169.59,847.95,2023-07-29,Cryptocurrency,3
74,CUST8911,Michelle Taylor,22,Male,East Phyllisfurt,PROD200,Dumbbells,Sports,4,103.66,414.64,2023-08-10,Cryptocurrency,4
75,CUST4225,Kayla Smith,26,Female,Bradland,PROD977,Tablet,Electronics,4,183.9,735.6,2024-03-04,Cash,2
76,CUST8759,James George,65,Female,East Randall,PROD266,Watch,Fashion,5,480.85,2404.25,2024-08-22,PayPal,2
77,CUST1028,William Trujillo,37,Female,New Laura,PROD144,Fruits,Grocery,1,109.19,109.19,2023-07-25,PayPal,3
78,CUST3231,Marco Ballard,22,Non-binary,New Luke,PROD855,Jeans,Fashion,5,101.66,508.3,2024-08-20,PayPal,3
79,CUST2143,John Olson,45,Non-binary,Padillamouth,PROD387,Tablet,Electronics,5,89.71,448.55,2024-05-27,Credit Card,5
80,CUST2961,Michael Patrick,28,Female,Rachaelchester,PROD492,Tennis Racket,Sports,4,448.79,1795.16,2024-09-24,Debit Card,3
81,CUST2412,Jason Williamson,55,Female,Zacharyview,PROD111,Blender,Home & Kitchen,3,123.47,370.41,2023-06-30,Cash,1
82,CUST7475,Trevor Roman,46,Non-binary,Jimberg,PROD245,Smartwatch,Electronics,5,202.6,1013.0,2024-04-02,Cryptocurrency,4
83,CUST9554,Gordon Farley,56,Non-binary,Jameshaven,PROD404,Couch,Home & Kitchen,3,307.37,922.11,2023-12-05,Credit Card,1
84,CUST8708,Sharon Cole,29,Female,Clarkmouth,PROD436,Comics,Books,2,45.64,91.28,2023-11-04,PayPal,2
85,CUST2516,Katrina Melton,65,Non-binary,Williamhaven,PROD669,Bread,Grocery,2,367.32,734.64,2024-06-03,Credit Card,5
86,CUST2761,Mark Beasley,45,Male,North Ronald,PROD707,Science,Books,3,493.01,1479.03,2024-01-18,PayPal,4
87,CUST6956,Brian Perez,64,Non-binary,Melindafurt,PROD874,Microwave,Home & Kitchen,1,194.78,194.78,2024-03-06,Credit Card,2
88,CUST4750,Carolyn Meyers,18,Male,Colemanborough,PROD178,Football,Sports,5,254.46,1272.3,2024-08-19,Debit Card,5
89,CUST1835,Matthew Bates,65,Male,Patrickburgh,PROD327,Biography,Books,5,60.97,304.85,2025-02-25,Cryptocurrency,4
90,CUST9238,Lauren Smith,28,Non-binary,West Lindseyberg,PROD747,Non-fiction,Books,4,260.88,1043.52,2024-09-16,Cash,3
91,CUST9535,Steven Carter,50,Female,North Arthurmouth,PROD368,Biography,Books,1,477.46,477.46,2024-10-13,Credit Card,3
92,CUST5108,Alex Chapman,57,Non-binary,North Anna,PROD488,Blender,Home & Kitchen,2,431.12,862.24,2024-06-25,Cash,3
93,CUST1214,Tyler Nunez,53,Non-binary,Chambersburgh,PROD878,Vacuum Cleaner,Home & Kitchen,2,353.04,706.08,2023-12-21,PayPal,1
94,CUST6111,Cory Thornton,49,Female,Rodriguezfort,PROD544,Fruits,Grocery,3,111.79,335.37,2024-02-25,Cryptocurrency,2
95,CUST9260,Shannon Li,21,Female,Hamiltonstad,PROD823,Couch,Home & Kitchen,3,262.7,788.1,2024-09-24,Cash,5
96,CUST5389,Caroline Le,22,Male,Kellyside,PROD138,Dumbbells,Sports,4,250.14,1000.56,2023-09-08,Cryptocurrency,3
97,CUST9464,Misty Gardner,30,Non-binary,East Caitlinborough,PROD562,Tablet,Electronics,2,232.61,465.22,2023-11-02,Debit Card,1
98,CUST2990,Kayla Barker,59,Female,Christopherview,PROD672,Blender,Home & Kitchen,2,432.54,865.08,2024-09-03,Credit Card,5
99,CUST2935,John Grant,30,Male,Williamsview,PROD512,Yoga Mat,Sports,1,49.71,49.71,2024-05-21,Credit Card,2
100,CUST9626,David Hill,50,Female,Patrickton,PROD311,Milk,Grocery,2,442.6,885.2,2024-12-24,Debit Card,1
101,CUST2381,Troy Rocha,63,Female,Pateltown,PROD640,Dumbbells,Sports,5,132.37,661.85,2024-03-25,Cash,2
102,CUST2922,Logan Richards,20,Female,Ramireztown,PROD776,Eggs,Grocery,4,341.36,1365.44,2023-12-31,Cash,5
103,CUST9867,Natalie Peterson,64,Male,New Bethany,PROD682,Vegetables,Grocery,2,78.76,157.52,2024-09-15,Credit Card,2
104,CUST3133,Daniel Silva,21,Female,Kellyburgh,PROD617,Fiction,Books,3,281.34,844.02,2024-01-26,Cryptocurrency,1
105,CUST2029,Patricia Carrillo,54,Non-binary,Thompsonland,PROD182,Vegetables,Grocery,2,326.8,653.6,2024-08-10,Credit Card,5
106,CUST4061,Tina Hill DVM,33,Male,New Cynthiabury,PROD794,Tablet,Electronics,3,333.04,999.12,2024-12-15,Cryptocurrency,5
107,CUST4907,Michelle Mitchell,56,Female,Russellville,PROD827,Science,Books,4,193.91,775.64,2023-04-21,Credit Card,2
108,CUST5005,Nicholas Schmidt,29,Non-binary,South Derrickmouth,PROD636,Sneakers,Fashion,1,292.13,292.13,2024-06-09,Cash,5
109,CUST7438,Douglas Smith,44,Female,South James,PROD129,Blender,Home & Kitchen,2,326.72,653.44,2023-07-26,PayPal,2
110,CUST5785,Cory Prince,38,Non-binary,East Taylorbury,PROD636,Watch,Fashion,1,374.52,374.52,2024-05-06,Credit Card,1
111,CUST2008,John Woods,39,Non-binary,South Timothyfurt,PROD426,Blender,Home & Kitchen,3,19.19,57.57,2024-07-03,Cryptocurrency,1
112,CUST6970,Caitlyn Shaffer,64,Non-binary,Davistown,PROD117,Comics,Books,3,310.15,930.45,2024-05-23,Credit Card,5
113,CUST1617,Tamara Hudson,35,Non-binary,Powellberg,PROD411,Comics,Books,1,52.04,52.04,2024-02-19,Cryptocurrency,4
114,CUST1897,April Huff,59,Female,Ryanfurt,PROD977,Eggs,Grocery,2,243.8,487.6,2024-02-10,Credit Card,3
115,CUST8136,Jeremy Reed,52,Male,Port William,PROD642,Sneakers,Fashion,1,263.47,263.47,2023-07-23,PayPal,2
116,CUST9119,Scott Anderson,22,Male,Lake Ryanfort,PROD700,Laptop,Electronics,1,205.28,205.28,2023-06-05,Credit Card,3
117,CUST2576,Zachary Beck,20,Non-binary,Johnsonburgh,PROD142,Science,Books,5,47.67,238.35,2024-10-16,Debit Card,2
118,CUST1764,Cheryl Beasley,56,Non-binary,Lanceview,PROD506,Tennis Racket,Sports,5,381.47,1907.35,2024-03-03,Credit Card,4
119,CUST5433,Robin Mayo,28,Male,West Kimberlyburgh,PROD806,Science,Books,3,359.94,1079.82,2023-05-02,Cash,2
120,CUST8322,Richard Young,50,Non-binary,Lake Cameron,PROD409,T-shirt,Fashion,5,86.18,430.9,2023-10-12,Credit Card,3
121,CUST7328,Keith Elliott,57,Non-binary,New Ashley,PROD604,Vacuum Cleaner,Home & Kitchen,1,478.46,478.46,2024-07-15,Cryptocurrency,2
122,CUST5451,Lisa Peterson,30,Non-binary,Michaelborough,PROD661,Microwave,Home & Kitchen,3,124.01,372.03,2024-01-19,Debit Card,3
123,CUST2653,Cynthia Thomas,50,Non-binary,East Kyle,PROD590,Fiction,Books,3,354.25,1062.75,2023-06-10,PayPal,2
124,CUST7309,Gary Phillips,31,Male,Port Teresa,PROD399,Running Shoes,Sports,2,161.52,323.04,2024-08-06,Cryptocurrency,4
125,CUST1369,Rachel Garcia,46,Female,Cameronshire,PROD566,Smartwatch,Electronics,4,473.41,1893.64,2024-09-12,Cash,2
126,CUST2639,James Dunn,46,Male,New Wandaton,PROD163,Tennis Racket,Sports,3,154.4,463.2,2024-01-16,Credit Card,2
127,CUST4407,Christine Giles,31,Non-binary,Lake Courtneyland,PROD165,Comics,Books,5,82.59,412.95,2024-03-21,Cryptocurrency,3
128,CUST3103,Ruben Schroeder,39,Male,Fullermouth,PROD537,Tennis Racket,Sports,5,263.93,1319.65,2023-05-18,Cryptocurrency,1
129,CUST8006,Marcus Brown,51,Female,East Mackenziefurt,PROD710,Blender,Home & Kitchen,2,308.96,617.92,2024-10-11,Credit Card,5
130,CUST2661,Brittany Vargas,49,Non-binary,Port David,PROD625,Smartwatch,Electronics,3,228.36,685.08,2024-11-10,Cash,5
131,CUST5324,Jessica Ware,65,Male,Lake Victorview,PROD270,Eggs,Grocery,5,172.2,861.0,2023-07-26,Credit Card,5
132,CUST9640,Sara Hernandez,40,Male,Port Lisaview,PROD832,Vacuum Cleaner,Home & Kitchen,4,438.19,1752.76,2023-09-11,Cryptocurrency,4
133,CUST5431,Lisa Williamson,19,Female,Michelleton,PROD960,Microwave,Home & Kitchen,4,422.3,1689.2,2023-04-11,Credit Card,2
134,CUST2692,Travis Baker,35,Female,Carloshaven,PROD635,Eggs,Grocery,2,15.77,31.54,2024-11-18,Credit Card,5
135,CUST9044,Lisa Cordova,38,Non-binary,Port Douglasfort,PROD921,Blender,Home & Kitchen,4,317.75,1271.0,2024-12-21,Cash,1
136,CUST7440,Gregory Harris,61,Female,Ferrellview,PROD152,Blender,Home & Kitchen,2,115.45,230.9,2023-09-18,Cryptocurrency,3
137,CUST5572,Danielle Thomas,53,Male,Laurenfurt,PROD940,Non-fiction,Books,1,416.12,416.12,2025-01-01,Credit Card,3
138,CUST7707,Jessica Lopez,40,Non-binary,Turnerside,PROD528,Watch,Fashion,5,216.33,1081.65,2024-03-11,Cash,2
139,CUST8560,Jody Reese,23,Female,West Veronica,PROD120,Non-fiction,Books,3,377.98,1133.94,2024-08-08,Credit Card,2
140,CUST9040,Hunter Gregory,22,Non-binary,East Jill,PROD641,Fiction,Books,2,240.49,480.98,2025-02-15,Cryptocurrency,4
141,CUST3745,Chelsey Adams,49,Non-binary,Jonesport,PROD768,Watch,Fashion,4,440.36,1761.44,2024-04-20,Credit Card,5
142,CUST3180,James Silva,22,Non-binary,Kendrabury,PROD872,Science,Books,5,225.95,1129.75,2024-11-06,Debit Card,3
143,CUST3022,Jessica Jordan,45,Female,West Carrie,PROD516,Fruits,Grocery,5,247.19,1235.95,2024-06-18,PayPal,3
144,CUST5483,Harry Campbell,41,Female,Port Stephanie,PROD284,Watch,Fashion,3,308.55,925.65,2023-03-29,Cryptocurrency,5
145,CUST7138,Andrea James,34,Male,North Justinview,PROD284,Watch,Fashion,5,245.17,1225.85,2023-05-06,Credit Card,2
146,CUST6752,Matthew Williams,48,Non-binary,Port Meghan,PROD802,Vegetables,Grocery,1,384.22,384.22,2024-09-30,Credit Card,1
147,CUST6457,Toni Beck,40,Non-binary,East Kristopherport,PROD288,Vacuum Cleaner,Home & Kitchen,2,170.76,341.52,2025-03-02,Credit Card,5
148,CUST3115,Jennifer Jordan,42,Male,Kennethton,PROD796,Watch,Fashion,2,179.73,359.46,2024-07-31,Debit Card,3
149,CUST7874,Angela Munoz,34,Non-binary,Davidhaven,PROD478,Tablet,Electronics,1,49.07,49.07,2023-12-31,Cash,4
150,CUST2574,Christopher Wright,44,Non-binary,Smithberg,PROD586,Jeans,Fashion,5,384.16,1920.8,2024-09-24,Debit Card,4
151,CUST6766,Dominique Drake,24,Female,East Rhondaburgh,PROD463,Sneakers,Fashion,5,225.31,1126.55,2023-04-17,Cryptocurrency,2
152,CUST7031,Cindy Mccormick,30,Non-binary,Martinezshire,PROD745,Jeans,Fashion,4,212.06,848.24,2024-09-10,PayPal,3
153,CUST5196,Patrick Foley,56,Non-binary,Pamelabury,PROD806,Smartphone,Electronics,5,416.43,2082.15,2025-02-25,PayPal,4
154,CUST4656,Darryl Sanders,29,Female,Samanthafurt,PROD526,Science,Books,2,167.91,335.82,2024-03-12,PayPal,2
155,CUST2163,Bradley Harris,50,Non-binary,Davisfort,PROD793,Dishwasher,Home & Kitchen,1,38.2,38.2,2024-06-17,Credit Card,5
156,CUST6370,Robert White,19,Non-binary,Morrisonville,PROD460,Sneakers,Fashion,5,232.97,1164.85,2024-02-25,Debit Card,2
157,CUST7367,Michael Carrillo,62,Male,Port Jenniferland,PROD487,Watch,Fashion,1,132.39,132.39,2024-08-11,Cash,4
158,CUST9096,Beth Green,58,Non-binary,Jonathonbury,PROD396,Vegetables,Grocery,4,213.25,853.0,2023-11-25,Debit Card,2
159,CUST8041,Abigail Dickerson,50,Male,North Randallfurt,PROD988,Vacuum Cleaner,Home & Kitchen,2,117.4,234.8,2023-10-26,PayPal,2
160,CUST9282,Debra Wilson,20,Female,West Ashleytown,PROD362,Fruits,Grocery,5,434.28,2171.4,2023-04-14,PayPal,1
161,CUST5464,Ronald Mercado,32,Male,Jeanettemouth,PROD546,Sneakers,Fashion,5,109.42,547.1,2024-07-05,Credit Card,4
162,CUST6042,Timothy Gomez,34,Male,New Johnmouth,PROD947,Yoga Mat,Sports,1,418.62,418.62,2023-09-12,PayPal,4
163,CUST8543,Stacie Bennett,30,Non-binary,West Alexandramouth,PROD756,Tablet,Electronics,1,363.05,363.05,2023-03-26,Debit Card,2
164,CUST2703,Stuart Ray,42,Non-binary,Erikaview,PROD103,Fiction,Books,5,485.04,2425.2,2024-11-21,Cash,4
165,CUST2874,Heather Perry,58,Non-binary,North Jameshaven,PROD443,Fiction,Books,1,323.18,323.18,2024-03-09,Credit Card,2
166,CUST6201,Timothy Leonard,34,Female,Anthonyside,PROD200,Dumbbells,Sports,1,230.13,230.13,2023-09-28,Debit Card,2
167,CUST8837,Tina Hardy,61,Non-binary,Emilyshire,PROD629,Smartwatch,Electronics,1,277.33,277.33,2023-11-28,PayPal,1
168,CUST9109,Ernest Bernard,65,Non-binary,Petersonfurt,PROD213,Fruits,Grocery,5,449.01,2245.05,2024-09-28,Cash,3
169,CUST2323,Allison Martinez,30,Male,Jenniferbury,PROD488,Tennis Racket,Sports,2,330.42,660.84,2023-12-13,Cash,1
170,CUST1317,Denise Nixon,46,Female,North Christopher,PROD222,Football,Sports,5,406.75,2033.75,2023-09-10,Credit Card,3
171,CUST4269,Michael Mcconnell,62,Male,Amybury,PROD677,Tablet,Electronics,4,436.32,1745.28,2023-12-27,Debit Card,3
172,CUST3663,Tracy Hernandez,59,Female,Reginaton,PROD905,Jacket,Fashion,1,97.82,97.82,2024-08-26,Cash,1
173,CUST2998,Javier Jimenez,26,Non-binary,West Adamberg,PROD955,Vacuum Cleaner,Home & Kitchen,3,279.17,837.51,2024-03-12,Cash,2
174,CUST9186,Denise Maynard DDS,64,Non-binary,Smithmouth,PROD285,Biography,Books,1,322.08,322.08,2023-12-11,Debit Card,1
175,CUST1146,Brian Hudson,56,Female,Stephensmouth,PROD939,Bread,Grocery,1,48.81,48.81,2025-01-28,Cryptocurrency,4
176,CUST5407,Robin Smith,26,Male,South Victorborough,PROD748,Dishwasher,Home & Kitchen,5,162.85,814.25,2024-02-27,Credit Card,3
177,CUST2333,Christopher Vega,38,Male,New Douglastown,PROD633,Eggs,Grocery,1,383.04,383.04,2024-02-24,Credit Card,4
178,CUST4208,Sandra Davis,40,Non-binary,Deannaville,PROD209,Vegetables,Grocery,4,477.42,1909.68,2024-12-24,PayPal,2
179,CUST9210,Sonia Figueroa,25,Female,West Jennifer,PROD380,Jeans,Fashion,5,271.93,1359.65,2024-05-31,Cash,3
180,CUST7803,Thomas Mason,52,Female,Port George,PROD603,Laptop,Electronics,4,383.0,1532.0,2024-09-07,PayPal,3
181,CUST7914,Michael Tucker,46,Female,North Erin,PROD257,Couch,Home & Kitchen,5,88.56,442.8,2024-10-17,Credit Card,1
182,CUST2508,Jacqueline Brown,59,Male,New Justin,PROD911,Running Shoes,Sports,4,103.54,414.16,2023-12-08,Credit Card,4
183,CUST6688,Hannah Jones,40,Non-binary,East Michael,PROD367,Yoga Mat,Sports,3,468.26,1404.78,2024-10-16,Cryptocurrency,2
184,CUST6626,Nicole Gonzalez,21,Male,Port Matthewfort,PROD491,Eggs,Grocery,4,121.62,486.48,2024-01-12,Cryptocurrency,3
185,CUST7360,Matthew Rivas MD,21,Male,West Thomas,PROD421,Non-fiction,Books,2,55.15,110.3,2024-12-24,Cash,5
186,CUST4995,Christopher King,41,Female,South Stacie,PROD247,Bread,Grocery,3,64.29,192.87,2024-05-30,Cryptocurrency,4
187,CUST7051,Casey Hoffman,19,Non-binary,Laceyborough,PROD354,Tablet,Electronics,5,293.3,1466.5,2023-04-18,Credit Card,5
188,CUST1227,Kimberly Ross PhD,24,Non-binary,New William,PROD460,Jacket,Fashion,3,240.34,721.02,2023-06-08,Debit Card,2
189,CUST7198,Julie Allen,47,Non-binary,North Christina,PROD330,Running Shoes,Sports,4,47.33,189.32,2023-11-19,Debit Card,4
190,CUST4109,Richard Brown,38,Female,Lake Dennismouth,PROD357,Bread,Grocery,4,52.3,209.2,2024-10-27,Debit Card,4
191,CUST2974,Stacie Hernandez,55,Female,Lake Tamaraton,PROD974,Headphones,Electronics,2,313.62,627.24,2023-11-03,PayPal,5
192,CUST7106,Heather Dunn,45,Male,New Juan,PROD385,Smartphone,Electronics,1,54.76,54.76,2023-06-18,Cash,1
193,CUST7644,Philip Martinez,57,Female,East Robert,PROD719,Tablet,Electronics,5,333.63,1668.15,2024-05-28,Cash,1
194,CUST2093,Carolyn Miller,44,Male,Terrifurt,PROD411,Eggs,Grocery,2,247.85,495.7,2024-03-21,Debit Card,1
195,CUST4911,Linda Nelson,44,Female,Markshire,PROD222,Jeans,Fashion,5,97.48,487.4,2023-09-15,Debit Card,1
